"","Habitat","ProportionAreaChosen","Coefficient","Estimate","Std. Error","t value","Pr(>|t|)","Trend"
"22",NA,NA,"Year",-0.000138750068683703,0.000169675774523035,-0.817736468707658,0.413880060929869,NA
"23","generalist",0.15,"Intercept",-0.993717172941766,0.440859013746568,-2.25404753437346,0.0246062946908542,"Increasing"
"24",NA,NA,"Year",0.000452809445545041,0.000214927888365433,2.10679707035109,0.0356108223897467,NA
"25","generalist",0.25,"Intercept",-1.08751148214607,0.48938651017624,-2.22219341876512,0.0266972584192861,"Increasing"
"26",NA,NA,"Year",0.000473924951222541,0.000238586046665642,1.98639005862193,0.0475115028763311,NA
"27","generalist",0.35,"Intercept",-1.04545843095475,0.596439541698904,-1.75283219482205,0.0802167163705437,"Increasing"
"28",NA,NA,"Year",0.000425538634089171,0.000290776613923752,1.46345549714929,0.143943510547871,NA
"29","generalist",0.45,"Intercept",-1.23241037029979,0.697488543804641,-1.76692560938317,0.0778238696869704,"Increasing"
"30",NA,NA,"Year",0.000489780223414586,0.000340040092647826,1.44036022223369,0.150363858688784,NA
"31","generalist",0.55,"Intercept",-1.8228452573704,0.740975016303351,-2.46006304836617,0.0142135946214051,"Increasing"
"32",NA,NA,"Year",0.000758631144708365,0.000361240647508166,2.10007137884785,0.0362009283689034,NA
"33","generalist",0.65,"Intercept",-2.531643536281,0.889181604021818,-2.84716139518658,0.00458447863724593,"Increasing"
"34",NA,NA,"Year",0.0010842458921481,0.000433494424672599,2.50117609463371,0.0126827999884362,NA
"35","generalist",0.75,"Intercept",-4.34606330565992,1.25789725987128,-3.45502247624314,0.000594943785158209,"Increasing"
"36",NA,NA,"Year",0.00195430357977188,0.000613250933778605,3.18679266859041,0.00152454811564363,NA
"37","generalist",0.85,"Intercept",-6.56896219877127,1.7947919891823,-3.66001310367117,0.000277805785124724,"Increasing"
"38",NA,NA,"Year",0.0029886498060417,0.000874998219979459,3.41560672673352,0.00068587132669363,NA
"39","generalist",0.95,"Intercept",-13.3459091365054,2.95627773616302,-4.51443007984331,7.85033360471142e-06,"Increasing"
"40",NA,NA,"Year",0.00620489310168324,0.0014412465469528,4.30522669060482,1.99219062242185e-05,NA
"41","deciduous",0.05,"Intercept",0.233148765007393,0.184627844083749,1.26280391868539,0.207053172846549,"Declining"
"42",NA,NA,"Year",-0.000143215525295316,9.00098930158059e-05,-1.59110871590712,0.112007620337437,NA
"43","deciduous",0.15,"Intercept",0.457178157020667,0.269689118128081,1.69520431596926,0.0904528505192753,"Declining"
"44",NA,NA,"Year",-0.000277030474474482,0.000131479023603961,-2.10703172932703,0.0354471916293535,NA
"45","deciduous",0.25,"Intercept",0.213993018072109,0.318244877419953,0.672416221769142,0.501526411218604,"Declining"
"46",NA,NA,"Year",-0.000199629640505449,0.000155150960634109,-1.2866800159635,0.198603904525998,NA
"47","deciduous",0.35,"Intercept",0.126030143040248,0.394812602325978,0.319215096726298,0.749652534460488,"Declining"
"48",NA,NA,"Year",-0.000203948900801833,0.000192479310328367,-1.05958869269585,0.289673788586717,NA
"49","deciduous",0.45,"Intercept",-0.0332259959966509,0.475322975349385,-0.0699019355675542,0.944290395711695,"Stable"
"50",NA,NA,"Year",-0.000175831424200962,0.000231729782533482,-0.758777841495436,0.448224486353086,NA
"51","deciduous",0.55,"Intercept",-0.670778209875743,0.51802306765128,-1.29488096527642,0.195760838624102,"Stable"
"52",NA,NA,"Year",9.10379961010982e-05,0.000252546960781607,0.360479476052077,0.718590371873466,NA
"53","deciduous",0.65,"Intercept",-0.892287435739212,0.615500336650316,-1.4496944722975,0.147562872567219,"Stable"
"54",NA,NA,"Year",0.00014954634897754,0.000300069145734903,0.498372962042745,0.618367696019021,NA
"55","deciduous",0.75,"Intercept",-1.64764766177245,0.840251537456116,-1.96089812196089,0.0502615919652339,"Increasing"
"56",NA,NA,"Year",0.000437446155289214,0.000409640005103913,1.06787947914962,0.285919397035202,NA
"57","deciduous",0.85,"Intercept",-3.75797355741122,1.21886027111812,-3.08318651978364,0.00212322446966832,"Increasing"
"58",NA,NA,"Year",0.00134169428007394,0.000594219594281742,2.25790985855272,0.0242387362045193,NA
"59","deciduous",0.95,"Intercept",-13.5109338770446,2.17139346301791,-6.22224120462554,8.15591922474026e-10,"Increasing"
"60",NA,NA,"Year",0.00585288517923463,0.00105859922847177,5.52889613162109,4.45481123615268e-08,NA
"61","conifer",0.05,"Intercept",-0.244474771654815,0.168088430876678,-1.45444139361489,0.146023472715996,"Increasing"
"62",NA,NA,"Year",0.000103409719311484,8.19465869597724e-05,1.26191612302594,0.207166047990721,NA
"63","conifer",0.15,"Intercept",0.209897197436269,0.235759264057958,0.890303073666996,0.373439315431369,"Stable"
"64",NA,NA,"Year",-0.000113641422992564,0.000114937517906106,-0.98872348266124,0.322950509591494,NA
"65","conifer",0.25,"Intercept",-0.0974963611712143,0.281688911003698,-0.34611359326791,0.729303634929211,"Stable"
"66",NA,NA,"Year",4.34975843409816e-05,0.000137329170846409,0.316739583242877,0.751483240196076,NA
"67","conifer",0.35,"Intercept",-0.447750389728886,0.388271982883574,-1.15318748059952,0.249008640268398,"Increasing"
"68",NA,NA,"Year",0.000223128049200714,0.000189290623057549,1.17875912497196,0.238672377229808,NA
"69","conifer",0.45,"Intercept",-0.460913943144803,0.495248483301787,-0.930672094282695,0.35216601514079,"Stable"
"70",NA,NA,"Year",0.000237233588619596,0.000241443879819193,0.982562029724052,0.325974138386457,NA
"71","conifer",0.55,"Intercept",-0.390930665131447,0.497078532849944,-0.786456544180434,0.431718529482488,"Stable"
"72",NA,NA,"Year",0.000217024090220897,0.000242336066828475,0.895550105525592,0.370630112692056,NA
"73","conifer",0.65,"Intercept",-0.2291210846045,0.51559347660829,-0.444383210803438,0.656826679672301,"Stable"
"74",NA,NA,"Year",0.000147836242776109,0.000251362484892082,0.588139645578295,0.556522992470162,NA
"75","conifer",0.75,"Intercept",-0.0272200032783955,0.600462170017407,-0.0453317538348942,0.963848631476254,"Stable"
"76",NA,NA,"Year",6.33005971500173e-05,0.00029273772843704,0.216236552384233,0.828831400181502,NA
"77","conifer",0.85,"Intercept",-0.150210918427866,0.695456160037091,-0.215989054464418,0.829024283419118,"Stable"
"78",NA,NA,"Year",0.000131540821871638,0.000339049263521302,0.38796964342432,0.698090993703867,NA
"79","conifer",0.95,"Intercept",-0.248536850520005,0.834352568082731,-0.297879889182964,0.765834175349084,"Stable"
"80",NA,NA,"Year",0.000187483786203569,0.000406764135514264,0.460915232771289,0.644923140384614,NA
"81","mixedwood",0.05,"Intercept",0.419423544907264,0.135682585197085,3.09121133193352,0.00204605539868326,"Declining"
"82",NA,NA,"Year",-0.000248484262496312,6.61480668764008e-05,-3.75648562732167,0.000181807369800168,NA
"83","mixedwood",0.15,"Intercept",1.07665474720413,0.200571662578484,5.36793051103534,9.80487480679349e-08,"Declining"
"84",NA,NA,"Year",-0.000586437580249042,9.77828343297037e-05,-5.99734691951856,2.75767154211212e-09,NA
"85","mixedwood",0.25,"Intercept",0.492648799305281,0.206736045562751,2.38298453452688,0.0173503281565958,"Declining"
"86",NA,NA,"Year",-0.000329651492174847,0.00010078809854473,-3.27073828095434,0.00110761948210829,NA
"87","mixedwood",0.35,"Intercept",-0.274814748643872,0.23673776688876,-1.16084033509112,0.245971185807962,"Stable"
"88",NA,NA,"Year",8.37400707282466e-06,0.000115414558276444,0.0725558993412863,0.942173365881934,NA
"89","mixedwood",0.45,"Intercept",-0.737968047192285,0.286592979005505,-2.57496903710998,0.010161129320732,"Increasing"
"90",NA,NA,"Year",0.00020023497788812,0.000139720005437885,1.43311601842971,0.152122925210367,NA
"91","mixedwood",0.55,"Intercept",-1.44645960231436,0.354215887961612,-4.08355370686004,4.77287199791771e-05,"Increasing"
"92",NA,NA,"Year",0.000535794674773943,0.000172687572333136,3.1026823038564,0.00196909373098966,NA
"93","mixedwood",0.65,"Intercept",-2.01342916309207,0.449396959860487,-4.48029101869565,8.27296743171196e-06,"Increasing"
"94",NA,NA,"Year",0.000795555093899248,0.00021909031370329,3.63117419685041,0.000295780826127028,NA
"95","mixedwood",0.75,"Intercept",-2.6012707524165,0.597116972179943,-4.35638388056503,1.45217846800363e-05,"Increasing"
"96",NA,NA,"Year",0.001037693935808,0.000291106875295898,3.56464935688388,0.000380766307888592,NA
"97","mixedwood",0.85,"Intercept",-4.51303718288006,0.817894831437763,-5.51786979133573,4.32333377465539e-08,"Increasing"
"98",NA,NA,"Year",0.00191252157450967,0.00039874064847174,4.79640483567407,1.84908429720986e-06,NA
"99","mixedwood",0.95,"Intercept",-10.8657779817606,1.27231781327385,-8.54014450509148,4.66212447509877e-17,"Increasing"
"100",NA,NA,"Year",0.00492280978371206,0.000620281251851344,7.93641556796861,5.32265154703839e-15,NA
"101","grassland",0.05,"Intercept",-0.416959254853513,0.305477766864774,-1.3649414133569,0.174342879457907,"Increasing"
"102",NA,NA,"Year",0.00020039190261382,0.000148926730150916,1.34557377584771,0.180497847229125,NA
"103","grassland",0.15,"Intercept",0.315054143225918,0.663102011659117,0.47512168216416,0.635400661033988,"Stable"
"104",NA,NA,"Year",-0.000147448230382435,0.000323275946941834,-0.456106406236792,0.648982038292033,NA
"105","grassland",0.25,"Intercept",-0.16106590231246,0.739392999596977,-0.217835308692742,0.827857482937083,"Stable"
"106",NA,NA,"Year",6.85884068424176e-05,0.000360469381639809,0.190275264241314,0.849354174174051,NA
"107","grassland",0.35,"Intercept",-0.426477472022135,0.87936730824189,-0.484982177555346,0.628406053424979,"Stable"
"108",NA,NA,"Year",0.000173084784118986,0.000428709752471281,0.403734188740158,0.686990938214896,NA
"109","grassland",0.45,"Intercept",-0.307030675249173,1.03395692158227,-0.296947260413249,0.766923119954742,"Stable"
"110",NA,NA,"Year",8.99266179474872e-05,0.000504075386659215,0.178399144904655,0.858653486269366,NA
"111","grassland",0.55,"Intercept",-0.313149189278802,1.11049687035262,-0.281990159215277,0.778344989102243,"Stable"
"112",NA,NA,"Year",7.75298189188639e-05,0.00054139019491278,0.143205066599616,0.886323017558788,NA
"113","grassland",0.65,"Intercept",1.56706102347231,1.29200891155672,1.21288716312659,0.227105347784729,"Declining"
"114",NA,NA,"Year",-0.000853770834144792,0.000629881069574408,-1.35544767954633,0.177339882205418,NA
"115","grassland",0.75,"Intercept",4.93043458819837,1.8592055181768,2.65190402028998,0.00887635093004562,"Declining"
"116",NA,NA,"Year",-0.00246546776979448,0.000906401147757435,-2.72006249759766,0.00730868786033536,NA
"117","grassland",0.85,"Intercept",7.71576069332717,2.28608274598089,3.37510123239942,0.000942417394070434,"Declining"
"118",NA,NA,"Year",-0.00384482128521952,0.00111451262626282,-3.44977813137207,0.00073115927553394,NA
"119","grassland",0.95,"Intercept",12.1559445544748,3.40762156003847,3.56728126650823,0.000486428635203318,"Declining"
"120",NA,NA,"Year",-0.00607663789265545,0.00166128599713425,-3.6577915561425,0.000352989555717703,NA
"121","wetland",0.05,"Intercept",-0.13114084570332,0.258580936444418,-0.507155892876536,0.612259209450039,"Stable"
"122",NA,NA,"Year",7.82677578484424e-05,0.000126063555260556,0.620859515556843,0.53496253074475,NA
"123","wetland",0.15,"Intercept",-1.29129025597295,0.403952526679685,-3.19663864114627,0.00147442984037809,"Increasing"
"124",NA,NA,"Year",0.000638335242028616,0.000196935212510037,3.2413463996241,0.00126544179989081,NA
"125","wetland",0.25,"Intercept",-1.22749769315585,0.495965912925179,-2.47496382546966,0.013640854981085,"Increasing"
"126",NA,NA,"Year",0.000587358691177761,0.000241793641600625,2.42917343603233,0.0154690873192014,NA
"127","wetland",0.35,"Intercept",-0.476771562457845,0.642354128999533,-0.742225418867342,0.458283971572427,"Stable"
"128",NA,NA,"Year",0.000200081473769721,0.000313160924975556,0.638909448186546,0.523161543040195,NA
"129","wetland",0.45,"Intercept",-0.0516078611627483,0.777201285200359,-0.0664021819642823,0.947083008290799,"Stable"
"130",NA,NA,"Year",-2.90958777899552e-05,0.000378901702935441,-0.0767900422841665,0.938819938924534,NA
"131","wetland",0.55,"Intercept",0.0693517139480586,0.825961650644983,0.083964811070711,0.933116538197881,"Stable"
"132",NA,NA,"Year",-0.000111533579492837,0.000402673389697333,-0.276982741712012,0.7819027949681,NA
"133","wetland",0.65,"Intercept",0.630785178235721,0.911646131732429,0.691918888568113,0.48929532073004,"Stable"
"134",NA,NA,"Year",-0.000406288398292759,0.000444446346610037,-0.914144983734656,0.361061908491071,NA
"135","wetland",0.75,"Intercept",3.08764112465274,1.1514540916482,2.68151474474598,0.00756053001179696,"Declining"
"136",NA,NA,"Year",-0.00162402674679325,0.00056135768749406,-2.89303376968617,0.00397443952990151,NA
"137","wetland",0.85,"Intercept",5.91403122999213,1.42417667813412,4.15259659899809,3.838322488697e-05,"Declining"
"138",NA,NA,"Year",-0.00302970992373753,0.000694315589669726,-4.36359195849067,1.54215516556261e-05,NA
"139","wetland",0.95,"Intercept",10.5893347040168,1.89679621598966,5.58274769569371,3.80784185477986e-08,"Declining"
"140",NA,NA,"Year",-0.00537077343558405,0.000924727390504384,-5.80795323111886,1.09883894918487e-08,NA
